SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-09 18:00:00,DS,4.4,93.0, , , ,main,264,233,O______________,jtwc_io,IO012013,4.4,93.0, ,DB,20,1007,-3, , , , , , , , , , , , ,1008,140,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,85
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-09 21:00:00,DS,4.4,93.3, , , ,main,233,208,P______________, ,IO012013,4.4,93.3, ,DB,23,1006,-3, , , , , , , , , , , , ,1007,140,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,80
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 00:00:00,TS,4.5,93.5, , , ,main,208,204,O______________,jtwc_io,IO012013,4.5,93.5, ,TD,25,1004,-1, , , , , , , , , , , , ,1005,140,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 03:00:00,TS,4.7,93.3, , , ,main,221,221,P______________, ,IO012013,4.7,93.3, ,TD,30,1000,-1, , , , , , , , , , , , ,1006,145,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,310
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 06:00:00,TS,4.9,93.0, , , ,main,247,247,O______________,jtwc_io,IO012013,4.9,93.0, ,TS,35,996,0, , , , , , , , , , , , ,1006,150,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,300
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 09:00:00,TS,5.1,92.6,25,1004,newdelhi,main,289,289,P____O_________, ,IO012013,5.1,92.8, ,TS,35,996,0, , , , , , , , , , , , ,1006,150,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.0,92.0,D,25,1004,1.50000,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,310
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 12:00:00,TS,5.4,92.3,30,1002,newdelhi,main,321,321,O____O_________,jtwc_io,IO012013,5.4,92.5, ,TS,35,996,0, , , , , , , , , , , , ,1006,150,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.5,92.0,DD,30,1002,2.00000,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,320
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 15:00:00,TS,5.8,92.0, , , ,main,355,355,P____P_________, ,IO012013,5.8,92.2, ,TS,35,996,0, , , , , , , , , , , , ,1006,150,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.8,91.8,DD,30,1001, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,315
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 18:00:00,TS,6.1,91.7,30,1000,newdelhi,main,391,391,O____O_________,jtwc_io,IO012013,6.2,91.8, ,TS,35,996,0,60,50,50,60, , , , , , , , ,1006,150,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.0,91.5,DD,30,1000,2.00000,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,315
2013130N04093,2013,20,NI,BB,MAHASEN:VIYARU,2013-05-10 21:00:00,TS,6.4,91.3, , , ,main,440,440,P____P_________, ,IO012013,6.6,91.4, ,TS,38,995,0,65,55,60,65, , , , , , , , ,1005,155,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.2,91.3,DD,30,999, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,315
