SID,SEASON,NAME,ISO_TIME,NATURE,LAT,LON,WIND_KTS,PRES_MB,CATEGORY,DIST2LAND,LANDFALL,STORM_SPEED,STORM_DIR
1981283N07132,1981,FABIAN,1981-10-10 18:00:00,MX,9.1,129.9,,1004.0,,395,352,9,285
1981283N07132,1981,FABIAN,1981-10-11 00:00:00,MX,9.2,129.1,,1004.0,,311,261,9,285
1981283N07132,1981,FABIAN,1981-10-11 06:00:00,MX,9.7,128.0,,1004.0,,205,153,13,295
1981283N07132,1981,FABIAN,1981-10-11 12:00:00,MX,10.2,126.8,,1004.0,,117,80,13,290
1981283N07132,1981,FABIAN,1981-10-11 18:00:00,MX,10.6,125.4,,1004.0,,21,0,15,290
1981283N07132,1981,FABIAN,1981-10-12 00:00:00,MX,11.0,124.0,,1006.0,,0,0,14,285
1981283N07132,1981,FABIAN,1981-10-12 06:00:00,MX,11.2,122.7,,1004.0,,0,0,13,275
1981283N07132,1981,FABIAN,1981-10-12 12:00:00,TS,11.3,121.2,,1004.0,,86,86,16,275
1981283N07132,1981,FABIAN,1981-10-12 18:00:00,TS,11.5,119.5,,1004.0,,22,22,17,275
1981283N07132,1981,FABIAN,1981-10-13 00:00:00,TS,11.6,117.8,,1004.0,,180,180,20,270
1981283N07132,1981,FABIAN,1981-10-13 06:00:00,TS,11.6,115.6,,1000.0,,360,360,19,270
1981283N07132,1981,FABIAN,1981-10-13 12:00:00,TS,11.6,113.9,,1000.0,,491,407,16,270
1981283N07132,1981,FABIAN,1981-10-13 18:00:00,TS,11.6,112.2,40.0,994.0,,314,243,16,265
1981283N07132,1981,FABIAN,1981-10-14 00:00:00,TS,11.5,110.8,40.0,994.0,,169,107,13,270
1981283N07132,1981,FABIAN,1981-10-14 06:00:00,TS,11.5,109.6,45.0,994.0,,49,0,11,275
1981283N07132,1981,FABIAN,1981-10-14 12:00:00,TS,11.7,108.4,40.0,996.0,,0,0,15,295
1981283N07132,1981,FABIAN,1981-10-14 18:00:00,TS,12.7,107.0,,1002.0,,0,0,16,300
1981283N07132,1981,FABIAN,1981-10-15 00:00:00,TS,13.2,105.5,,1004.0,,0,0,16,280
1981283N07132,1981,FABIAN,1981-10-15 06:00:00,MX,13.5,103.9,,1004.0,,0,0,17,295
1981283N07132,1981,FABIAN,1981-10-15 12:00:00,MX,14.4,102.3,,1004.0,,0,0,17,300
1981283N07132,1981,FABIAN,1981-10-15 18:00:00,MX,15.1,101.0,,1006.0,,0,0,13,305
1981283N07132,1981,FABIAN,1981-10-16 00:00:00,ET,16.0,100.0,,1006.0,,0,0,14,315
